trait,auc_facial,std_facial,auc_quest,std_quest,auc_combined,std_combined,delta
openness,0.8545750988142293,0.047741040289587436,0.5526133763261909,0.06526325769434982,0.8478864156438528,0.04984905186831659,-0.006688683170376519
conscientiousness,0.8105339105339106,0.07165666091714958,0.5812822098536384,0.06744314902309148,0.8260770975056688,0.06479608375870123,0.015543186971758272
extraversion,0.8117927724449464,0.06586482663247474,0.5657364012798796,0.0647867039777106,0.8062958780350085,0.057475400565704396,-0.005496894409937947
agreeableness,0.819150690579262,0.06236904626314579,0.4623788909503196,0.07101603098862147,0.8097711811997526,0.071238897023537,-0.009379509379509487
neuroticism,0.805988455988456,0.05325134697429612,0.5488662131519275,0.08909706676892869,0.8122345908060193,0.06797126454538563,0.006246134817563309
